 "csubject" , "cnumber" , "cname" , "cdepartment" ,
 "COMP" , "6721" , "Introduction to Artificial Intelligence" , "Computer Science and Software Engineering (CSSE)" ,
 "FTRA" , "612" , "Traduction avancée en sciences humaines et sociales Co-listé : FTRA 542 ou FTRA 543" , "Études françaises" ,
 "IRST" , "390" , "Field Studies in Ireland" , "School of Irish Studies" ,
 "INSE" , "6210" , "Total Quality Methodologies in Engineering" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "CHEM" , "335" , "Biophysical Chemistry" , "Chemistry and Biochemistry" ,
 "ACTU" , "286" , "Actuarial Mathematics Lab I" , "Mathematics and Statistics" ,
 "ENGL" , "416" , "The Solo Play" , "English" ,
 "GEOG" , "371" , "Landscape Ecology" , "Geography, Planning and Environment" ,
 "BLDG" , "6741" , "HVAC Control Systems" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "FRAN" , "212" , "French Language: Transitional Level" , "Any department" ,
 "CIVI" , "6711" , "Asset Management for Sustainable Civil Infrastructure" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "COEN" , "445" , "Communication Networks and Protocols" , "Electrical and Computer Engineering (ECE)" ,
 "AHSC" , "360" , "Play, Adult Learning and Development" , "Applied Human Sciences" ,
 "PHYS" , "665" , "Principles of Medical Imaging" , "Physics" ,
 "COEN" , "315" , "Digital Electronics" , "Electrical and Computer Engineering (ECE)" ,
 "FTRA" , "683" , "Tutorial in translation" , "Études françaises" ,
 "ELEC" , "481" , "Linear Systems" , "Electrical and Computer Engineering (ECE)" ,
 "ENGR" , "207" , "Engineering Industrial Experience Work Term II" , "Computer Science and Software Engineering (CSSE)" ,
 "AHSC" , "510" , "Advanced Research Methods in Youth Work" , "Applied Human Sciences" ,
 "AHSC" , "456" , "Advanced Family Life Education" , "Applied Human Sciences" ,
 "COEN" , "346" , "Operating Systems" , "Electrical and Computer Engineering (ECE)" ,
 "CIVI" , "6461" , "Pavement Management Systems" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "EXCI" , "259" , "Human Physiology II: Cardiovascular and Respiratory Systems: From Rest to Exercise" , "Health, Kinesiology and Applied Physiology" ,
 "CHEM" , "451" , "Nanochemistry" , "Chemistry and Biochemistry" ,
 "INSE" , "6250" , "Quality Methodologies for Software" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "TESL" , "231" , "Modern English Grammar" , "Education" ,
 "CATA" , "495" , "Athletic Therapy Clinical Internship II" , "Health, Kinesiology and Applied Physiology" ,
 "SCOM" , "492" , "Supply Chain Simulation" , "Supply Chain and Business Technology Management" ,
 "COMP" , "6731" , "Pattern Recognition" , "Computer Science and Software Engineering (CSSE)" ,
 "FTRA" , "638" , "Initiation au sous-titrage 
Co-listé : FTRA 538" , "Études françaises" ,
 "PSYC" , "850" , "Practicum in Experimental Techniques" , "Psychology" ,
 "PHYS" , "890" , "Doctoral Research and Thesis" , "Physics" ,
 "PSYC" , "712" , "Extramural Practicum I: Adult" , "Psychology" ,
 "EDUC" , "307" , "Integrating Digital Technologies and Social Media in Learning Environments" , "Education" ,
 "ACCO" , "690B" , "Advanced Exam-writing Techniques" , "Accountancy" ,
 "CIVI" , "6621" , "Engineering Aspects of Biological Treatment of Water and Air" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "JPER" , "341" , "Jazz Vocal Repertoire I" , "Music" ,
 "HUMA" , "895" , "Thesis" , "Simone de Beauvoir Institute" ,
 "AHSC" , "533" , "Internship I in Youth Work" , "Applied Human Sciences" ,
 "BSTA" , "478" , "Data Mining Techniques" , "Supply Chain and Business Technology Management" ,
 "JOUR" , "691" , "Thesis" , "Journalism" ,
 "AHSC" , "530" , "Community Youth Development" , "Applied Human Sciences" ,
 "ELEC" , "6851" , "Telecommunications Networks" , "Electrical and Computer Engineering (ECE)" ,
 "MANA" , "529" , "Internship - Public Admin" , "Any department" ,
 "FINA" , "410" , "Investment Analysis" , "Finance" ,
 "JOUR" , "693" , "Research-Creation Thesis" , "Journalism" ,
 "FTRA" , "635" , "Traduction littéraire du français à l’anglais Co-listé : FTRA 501" , "Études françaises" ,
 "INSE" , "6431" , "Ad Hoc Wireless Networks: Architectures and Protocols" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "ACCO" , "465" , "Adv Assurance Services" , "Accountancy" ,
 "CHEM" , "206" , "General Chemistry II" , "Chemistry and Biochemistry" ,
 "COEN" , "212" , "Digital Systems Design I" , "Computer Science and Software Engineering (CSSE)" ,
 "INSE" , "6290" , "Quality in Supply Chain Design" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "MECH" , "6421" , "Metal Machining and Surface Technology" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COMS" , "476" , "Communication Media: Sound III" , "Communication Studies" ,
 "FTRA" , "425" , "Stage de formation : du français à l’anglais II" , "Études françaises" ,
 "MECH" , "6481" , "Aeroelasticity" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "AHSC" , "371" , "Community Recreation Planning" , "Applied Human Sciences" ,
 "MECH" , "211" , "Mechanical Engineering Drawing" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ENGR" , "307" , "Engineering Industrial Experience Work Term III" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "LOYC" , "298-01" , "Ecocide and Dystopias" , "Loyola College for Diversity and Sustainability" ,
 "FTRA" , "528" , "Travaux dirigés (F)" , "Études françaises" ,
 "PSYC" , "487" , "Advanced Directed Research in Psychology" , "Psychology" ,
 "TESL" , "486" , "Internship: Primary II" , "Teaching English as a Second Language" ,
 "ACCO" , "420" , "Advanced Managerial Accounting" , "Accountancy" ,
 "ELEC" , "6081" , "Modern Analog Filter Design" , "Electrical and Computer Engineering (ECE)" ,
 "ENGR" , "108" , "Engineering Industrial Experience Reflective Learning I" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "FINA" , "402" , "Short Term Financial Management" , "Finance" ,
 "MATH" , "MACF" , "Mathematical and Computational Finance Co-op" , "Mathematics and Statistics" ,
 "MECH" , "370" , "Modelling and Analysis of Dynamic Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MANA" , "695B" , "Management of Technology & Innovation" , "Management" ,
 "COMS" , "393" , "Communication Media: Special Topics" , "Communication Studies" ,
 "BIOL" , "382" , "Comparative Animal Physiology" , "Biology" ,
 "HIST" , "486" , "Public History Internship" , "History" ,
 "PHYS" , "293" , "Experimental Electricity and Magnetism I" , "Physics" ,
 "BLDG" , "6851" , "Project Cost Estimating" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MSCA" , "632" , "Financial Market Microstructure" , "Finance" ,
 "GEOG" , "490" , "Internship in Geography" , "Geography, Planning and Environment" ,
 "COMP" , "477" , "Animation for Computer Games" , "Computer Science and Software Engineering (CSSE)" ,
 "FTRA" , "692" , "Mémoire" , "Études françaises" ,
 "MECH" , "471" , "Microcontrollers for Mechatronics" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ENGR" , "208" , "Engineering Industrial Experience Reflective Learning II" , "Electrical and Computer Engineering (ECE)" ,
 "PHYS" , "496" , "Honours Research Project" , "Physics" ,
 "COMS" , "361" , "Propaganda" , "Communication Studies" ,
 "CIVI" , "440" , "Computer Applications in Civil Engineering Practice" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "EDUC" , "382" , "Teaching Science Concepts in the Elementary Classroom" , "Education" ,
 "PHIL" , "693" , "Research Paper" , "Philosophy" ,
 "HIST" , "485" , "Public History Workshop" , "History" ,
 "ELEC" , "6051" , "Introduction to Analog VLSI" , "Electrical and Computer Engineering (ECE)" ,
 "CIVI" , "7121" , "Cable Stayed Bridges" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "EDUC" , "264" , "Communication: Child, Parent and Teacher" , "Education" ,
 "EMBA" , "635" , "Starting a New Venture" , "Management" ,
 "BLDG" , "6721" , "Building Acoustics" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "AHSC" , "631" , "Research Methods" , "Applied Human Sciences" ,
 "ETEC" , "791" , "Internship II (Non-Thesis Option)" , "Education" ,
 "CHEM" , "856" , "Doctoral Research and Thesis" , "Chemistry and Biochemistry" ,
 "ELEC" , "6351" , "Modern Antenna Theory" , "Electrical and Computer Engineering (ECE)" ,
 "ENGL" , "692" , "Creative Writing Thesis" , "English" ,
 "CHEM" , "651" , "Nanochemistry" , "Chemistry and Biochemistry" ,
 "FINA" , "695" , "Applied Investments: Business Analysis and Valuation" , "Finance" ,
 "FTRA" , "559" , "Stage en gestion de projet" , "Études françaises" ,
 "ENGL" , "347" , "Creative Non-Fiction Writing" , "English" ,
 "CIVI" , "6671" , "Fate and Transport of Contaminants in the Environment" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "COMS" , "395" , "Communication Studies Apprenticeship II" , "Communication Studies" ,
 "EXCI" , "352" , "Essentials of Exercise Testing and Training in Athletic Populations" , "Health, Kinesiology and Applied Physiology" ,
 "MBA" , "645" , "Economics for Organizational Decision Making" , "Management" ,
 "BLDG" , "6611" , "Building Science" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "HENV" , "895" , "Research and Thesis" , "Geography, Planning and Environment" ,
 "FTRA" , "498" , "Étude avancée d’un sujet particulier" , "Études françaises" ,
 "CIVI" , "6021" , "Durability of Concrete Materials" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "AERO" , "390" , "Aerospace Engineering Design Project" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "PSYC" , "826" , "APC Practicum IV: General" , "Psychology" ,
 "TESL" , "221" , "Phonology for Teachers" , "Education" ,
 "ENGR" , "107" , "Engineering Industrial Experience Work Term I" , "Electrical and Computer Engineering (ECE)" ,
 "JOUR" , "521" , "Visual Story-Telling" , "Journalism" ,
 "ENCS" , "484" , "Development & Global Engineering (also listed as ENCS 6821)" , "Centre for Engineering in Society" ,
 "MATH" , "496" , "Honours Project in Pure and Applied Mathematics" , "Mathematics and Statistics" ,
 "ELEC" , "275" , "Principles of Electrical Engineering" , "Electrical and Computer Engineering (ECE)" ,
 "AHSC" , "538" , "Extended Internship in Youth Work" , "Applied Human Sciences" ,
 "INDU" , "412" , "Human Factors Engineering" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ADIP" , "594" , "Practicum II" , "Education" ,
 "ELEC" , "6381" , "Techniques in Electromagnetic Compatibility" , "Electrical and Computer Engineering (ECE)" ,
 "ENCS" , "6044" , "Practicum in Innovation" , "Centre for Engineering in Society" ,
 "ELEC" , "6431" , "Advanced Electrical Machines and Drives" , "Electrical and Computer Engineering (ECE)" ,
 "ESL" , "205" , "Academic Oral Communication I" , "Any department" ,
 "MECH" , "6111" , "Gas Dynamics" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "INSE" , "6140" , "Malware Defenses and Application Security" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "AHSC" , "691" , "Practicum B" , "Applied Human Sciences" ,
 "SCPA" , "516" , "Housing and Land Use from a CED Perspective: Part II" , "School of Community and Public Affairs" ,
 "PSYC" , "838" , "Extramural Practicum II: General" , "Psychology" ,
 "ELEC" , "342" , "Discrete-Time Signals and Systems" , "Electrical and Computer Engineering (ECE)" ,
 "FTRA" , "438" , "Initiation au sous-titrage" , "Études françaises" ,
 "JOUR" , "421" , "Advanced Video Journalism" , "Journalism" ,
 "FTRA" , "698" , "Étude d’un sujet particulier / Special Topics" , "Études françaises" ,
 "FTRA" , "615" , "Advanced literary translation Co-listé : FTRA 544 ou 545" , "Études françaises" ,
 "INDU" , "421" , "Facilities Design and Material Handling Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "SCOL" , "290" , "Directed and Independent Study I" , "Science College" ,
 "GEOG" , "374" , "Plant Ecology" , "Geography, Planning and Environment" ,
 "TESL" , "466" , "Internship: Primary I" , "Education" ,
 "AHSC" , "690" , "Practicum A" , "Applied Human Sciences" ,
 "JOUR" , "503" , "Introduction to Visual Journalism" , "Journalism" ,
 "FTRA" , "668" , "Web, technologies, traduction : théories et critiques" , "Études françaises" ,
 "MECH" , "6131" , "Conduction and Radiation Heat Transfer" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MSCA" , "654" , "Seminar in Consulting" , "Management" ,
 "FRAA" , "498" , "Étude avancée d’un sujet particulier" , "Études françaises" ,
 "TESL" , "427" , "Secondary Pedagogy" , "Education" ,
 "ENVS" , "696" , "Internship and Report in Environmental Assessment" , "Geography, Planning and Environment" ,
 "ENCS" , "483" , "Innovation and Critical Thinking in Science and Technology (also listed as ENCS 6041)" , "Centre for Engineering in Society" ,
 "CIVI" , "7031" , "Dynamics of Foundations" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ENGR" , "307" , "Engineering Industrial Experience Work Term III" , "Computer Science and Software Engineering (CSSE)" ,
 "FLIT" , "691" , "Présentation du mémoire incluant une réalisation médiatique" , "Études françaises" ,
 "BIOL" , "622" , "Advanced Techniques in Ecology" , "Biology" ,
 "MAST" , "701" , "Project" , "Mathematics and Statistics" ,
 "SOEN" , "385" , "Control Systems and Applications" , "Computer Science and Software Engineering (CSSE)" ,
 "FTRA" , "614" , "Traduction littéraire avancée 
Co-listé : FTRA 544 ou 545" , "Études françaises" ,
 "AHSC" , "232" , "Working in Task Groups" , "Applied Human Sciences" ,
 "ENGR" , "207" , "Engineering Industrial Experience Work Term II" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "6741" , "Mechatronics" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "FTRA" , "682" , "Tutorat en traduction" , "Études françaises" ,
 "EXCI" , "253" , "Human Anatomy I: Musculoskeletal Anatomy" , "Health, Kinesiology and Applied Physiology" ,
 "CIVI" , "6071" , "Advanced Steel Structures Design" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "AHSC" , "361" , "Leisure Services Leadership" , "Applied Human Sciences" ,
 "AHSC" , "491" , "Independent Study II" , "Applied Human Sciences" ,
 "COMP" , "6321" , "Machine Learning" , "Computer Science and Software Engineering (CSSE)" ,
 "ENCS" , "8511" , "Doctoral Research Proposal" , "Electrical and Computer Engineering (ECE)" ,
 "ENCS" , "6043" , "Seminar in Innovation Process" , "Centre for Engineering in Society" ,
 "CIVI" , "469" , "Geo-Environmental Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "FINA" , "413" , "Advanced Topics in Derivative Markets" , "Finance" ,
 "MANA" , "420" , "Management Research for Decision Making" , "Management" ,
 "COMS" , "583" , "Internships in Communication Studies" , "Communication Studies" ,
 "APLI" , "647" , "Supervision of Practice Teaching" , "Education" ,
 "COMS" , "496" , "Directed Study I" , "Communication Studies" ,
 "COEN" , "6531" , "ASIC Synthesis" , "Electrical and Computer Engineering (ECE)" ,
 "PHYS" , "297" , "Experimental Optics" , "Physics" ,
 "CIVI" , "7001" , "Earthquake Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "POLI" , "495" , "Honours Thesis" , "Political Science" ,
 "FINA" , "409" , "Applied Investment Analysis" , "Finance" ,
 "EXCI" , "358" , "Physiology of Exercise" , "Health, Kinesiology and Applied Physiology" ,
 "HEXS" , "801" , "Scientific Communication and Pedagogy in Health and Exercise Science" , "Health, Kinesiology and Applied Physiology" ,
 "MECH" , "6671" , "Finite Element Method in Machine Design" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "EDUC" , "304" , "Play in Childhood Settings" , "Education" ,
 "FRAN" , "318" , "Le français des affaires I" , "Études françaises" ,
 "ELEC" , "456" , "Antennas" , "Electrical and Computer Engineering (ECE)" ,
 "COEN" , "6541" , "Functional Hardware Verification" , "Electrical and Computer Engineering (ECE)" ,
 "FRAA" , "492" , "Tutorat en langue ou linguistique" , "Études françaises" ,
 "BIOL" , "890" , "Research and Thesis" , "Biology" ,
 "MATH" , "MACF" , "Actuarial Finance Master's Co-op - International" , "Mathematics and Statistics" ,
 "CIVI" , "6401" , "Transportation Systems Analysis" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ADED" , "370" , "Workshops for Adult Educators" , "Education" ,
 "AHSC" , "438" , "Internship in Therapeutic Recreation" , "Applied Human Sciences" ,
 "SCPA" , "511" , "CED Field Project - Part II" , "School of Community and Public Affairs" ,
 "CIVI" , "361" , "Introduction to Environmental Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "BLDG" , "7811" , "Project Acquisition and Control" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ELEC" , "7151" , "Broadband Communications Networks" , "Electrical and Computer Engineering (ECE)" ,
 "SOEN" , "490" , "Capstone Software Engineering Design Project" , "Computer Science and Software Engineering (CSSE)" ,
 "SOCI" , "409" , "Honours Seminar" , "Sociology and Anthropology" ,
 "EXCI" , "426" , "Honours Thesis" , "Health, Kinesiology and Applied Physiology" ,
 "APLI" , "626" , "Variationist Approaches to Second Language Acquisition" , "Education" ,
 "EMBA" , "611" , "Managing Talent" , "Management" ,
 "MECH" , "425" , "Manufacturing of Composites" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "RELI" , "690" , "Master’s Thesis (Religions and Cultures)" , "Religions and Cultures" ,
 "ECON" , "814" , "Workshop in Advanced Economic Theory" , "Economics" ,
 "CATA" , "348" , "Therapeutic Modalities in Sports Medicine" , "Health, Kinesiology and Applied Physiology" ,
 "FRAN" , "212" , "French Language: Transitional Level" , "Études françaises" ,
 "HIST" , "890" , "Thesis Research" , "History" ,
 "EDUC" , "406" , "Physcial Activity: Health and Well-being in Early Childhood Settings" , "Education" ,
 "EMBA" , "625" , "Global Experience" , "Management" ,
 "TESL" , "326" , "Pedagogy: General" , "Education" ,
 "IADI" , "301" , "Undergraduate Aerospace Industry Project I" , "Concordia Institute for Aerospace Design and Innovation (CIADI)" ,
 "URBS" , "335" , "Geographic Information Systems" , "Geography, Planning and Environment" ,
 "BTM" , "496" , "Information Technology strategy, management and sourcing" , "Supply Chain and Business Technology Management" ,
 "CHST" , "608" , "Field Observations" , "Education" ,
 "ESL" , "205" , "Academic Oral Communication I" , "Education" ,
 "JOUR" , "450" , "Journalism Practicum" , "Journalism" ,
 "AHSC" , "660" , "Philosophy and Ethics of Intervention" , "Applied Human Sciences" ,
 "INSE" , "6260" , "Software Quality Assurance" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "BIOL" , "368" , "Genetics and Cell Biology Laboratory" , "Biology" ,
 "BLDG" , "6241" , "Building Information Modelling in Construction" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "URBS" , "433" , "Advanced Urban Laboratory" , "Geography, Planning and Environment" ,
 "MECH" , "6191" , "Combustion" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "APLI" , "630" , "Second Language Syllabus Design and Curriculum Planning" , "Education" ,
 "ECON" , "680" , "Econometric Theory I" , "Economics" ,
 "MSCA" , "602" , "Applied Linear Statistical Models" , "Finance" ,
 "CATA" , "263" , "Principles of Athletic Therapy" , "Health, Kinesiology and Applied Physiology" ,
 "COMP" , "353" , "Databases" , "Computer Science and Software Engineering (CSSE)" ,
 "INSE" , "6170" , "Network Security Architecture and Management" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "CHST" , "695" , "Internship Seminar & Field Placement." , "Education" ,
 "COMP" , "492" , "Computer Science Project II" , "Computer Science and Software Engineering (CSSE)" ,
 "APLI" , "623" , "Sociolinguistics" , "Education" ,
 "MAST" , "232" , "Mathematics with Computer Algebra" , "Mathematics and Statistics" ,
 "AHSC" , "698" , "Master’s Project" , "Applied Human Sciences" ,
 "WSDB" , "496" , "Directed Research" , "Simone de Beauvoir Institute" ,
 "MBA" , "641" , "Responsible Manager" , "Management" ,
 "MECH" , "6301" , "Vibration Problems in Rotating Machinery" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ADIP" , "500" , "Adult Education in Québec as a Field of Study" , "Education" ,
 "CIVI" , "6611" , "Environmental Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "PHYS" , "392" , "Experimental Medical Electronics" , "Physics" ,
 "PSYC" , "843" , "Extramural Practicum III: Child" , "Psychology" ,
 "EDUC" , "462" , "Child Studies Field Experience: Inclusive Practices in Childhood Settings" , "Education" ,
 "COEN" , "6312" , "Model-Driven Software Engineering" , "Electrical and Computer Engineering (ECE)" ,
 "ENGR" , "308" , "Engineering Industrial Experience Reflective Learning III" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "BLDG" , "6581" , "Decision Analysis" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "TESL" , "487" , "Internship: Secondary II" , "Education" ,
 "ELEC" , "482" , "System Optimization" , "Electrical and Computer Engineering (ECE)" ,
 "CHEM" , "325" , "Organic Chemistry IV: Organic Structure and Stereochemistry" , "Chemistry and Biochemistry" ,
 "JOUR" , "630" , "Mediating Diversity through Audio Story-telling" , "Journalism" ,
 "AHSC" , "680" , "Facilitating Individual and Group Learning Processes" , "Applied Human Sciences" ,
 "ELEC" , "6841" , "Advanced Digital Communications" , "Electrical and Computer Engineering (ECE)" ,
 "CHEM" , "222" , "Introductory Organic Chemistry II" , "Chemistry and Biochemistry" ,
 "APLI" , "635" , "Language Assessment" , "Education" ,
 "PSYC" , "713" , "Extramural Practicum I: Child" , "Psychology" ,
 "AERO" , "481" , "Materials Engineering for Aerospace" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ELEC" , "6181" , "Real-time and Multimedia Communication over Internet" , "Electrical and Computer Engineering (ECE)" ,
 "INDU" , "323" , "Operations Research I" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "BLDG" , "6621" , "Modern Building Materials" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "390" , "Mechanical Engineering Design Project" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "PSYC" , "316" , "Statistical Analysis II" , "Psychology" ,
 "MATH" , "ACT" , "Actuarial Mathematics Co-op - International" , "Mathematics and Statistics" ,
 "FTRA" , "636" , "Informatique et traduction Co-listé : FTRA 536" , "Études françaises" ,
 "SCPA" , "509" , "Le financement des initiatives de DÉC. Partie II" , "School of Community and Public Affairs" ,
 "MAST" , "892" , "Doctoral Thesis" , "Mathematics and Statistics" ,
 "URBS" , "260" , "Analytical Methods in Urban Studies" , "Geography, Planning and Environment" ,
 "PHIL" , "495" , "Honours Essay" , "Philosophy" ,
 "ENCS" , "6042" , "Communication for the Innovation Process" , "Centre for Engineering in Society" ,
 "SPAN" , "601" , "Discourse Analysis and Research Methods" , "Classics, Modern Languages and Linguistics" ,
 "INDU" , "6351" , "System Reliability" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "SCPA" , "516" , "Logement et aménagement du territoire dans une perspective de DÉC. Partie II" , "School of Community and Public Affairs" ,
 "BLDG" , "492" , "Construction Processes" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "6081" , "Fuel Control Systems for Combustion Engines" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "INDU" , "6151" , "Decision Models in Service Sector" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COEN" , "345" , "Software Testing and Validation" , "Electrical and Computer Engineering (ECE)" ,
 "INDU" , "490" , "Capstone Industrial Engineering Design Project" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "SPAN" , "682" , "Research Paper I" , "Classics, Modern Languages and Linguistics" ,
 "MBA" , "648" , "Business Process Management" , "Management" ,
 "ELEC" , "6601" , "Digital Signal Processing" , "Electrical and Computer Engineering (ECE)" ,
 "ADIP" , "586" , "Integrative Internship II" , "Education" ,
 "ELEC" , "441" , "Modern Analog Filter Design" , "Electrical and Computer Engineering (ECE)" ,
 "LOYC" , "320" , "Biodiversity on Earth" , "Loyola College for Diversity and Sustainability" ,
 "COMP" , "473" , "Pattern Recognition" , "Computer Science and Software Engineering (CSSE)" ,
 "BTM" , "481" , "Information Systems Analysis" , "Supply Chain and Business Technology Management" ,
 "TRAN" , "F-E" , "Traduction francais-anglais / French-English Translation Co-op" , "Études françaises" ,
 "COMS" , "497" , "Directed Study II" , "Communication Studies" ,
 "GEOG" , "495" , "Field Research" , "Geography, Planning and Environment" ,
 "FTRA" , "534" , "Terminologie et mondialisation" , "Études françaises" ,
 "BTM" , "200" , "Fundamentals of Information Technology" , "Supply Chain and Business Technology Management" ,
 "TESL" , "415" , "Testing, Evaluation, and Course Design" , "Education" ,
 "COMS" , "697" , "Research-Creation Thesis" , "Communication Studies" ,
 "BLDG" , "6651" , "Fire and Smoke Control in Buildings" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "CIVI" , "6601" , "Modelling in Building and Environmental Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "6361" , "Mechanics of Biological Tissues" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
