 "csubject" , "cnumber" , "cname" , "cdescription" ,
 "CATA" , "495" , "Athletic Therapy Clinical Internship II" , "Minimum of 200 hours" ,
 "SCOM" , "492" , "Supply Chain Simulation" , "Experimental design & analysis techniques" ,
 "COMP" , "6731" , "Pattern Recognition" , "Laboratory: 24 hours total, project" ,
 "FTRA" , "638" , "Initiation au sous-titrage 
Co-listé : FTRA 538" , "volet pratique" ,
 "PSYC" , "850" , "Practicum in Experimental Techniques" , "Practicum" ,
 "PHYS" , "890" , "Doctoral Research and Thesis" , "Research, thesis" ,
 "PSYC" , "712" , "Extramural Practicum I: Adult" , "4-month extramural practicum with adult clients, done under qualified supervisors" ,
 "EDUC" , "307" , "Integrating Digital Technologies and Social Media in Learning Environments" , "Practical project-based activities" ,
 "ACCO" , "690B" , "Advanced Exam-writing Techniques" , "Course" ,
 "CIVI" , "6621" , "Engineering Aspects of Biological Treatment of Water and Air" , "Lab demonstration, case study and project" ,
 "JPER" , "341" , "Jazz Vocal Repertoire I" , "Public performance" ,
 "HUMA" , "895" , "Thesis" , "Thesis" ,
 "AHSC" , "533" , "Internship I in Youth Work" , "100 hours in settings such as schools, community organizations, hospitals, or rehabilitation centres" ,
 "BSTA" , "478" , "Data Mining Techniques" , "Practical experience" ,
 "JOUR" , "691" , "Thesis" , "Thesis" ,
 "AHSC" , "530" , "Community Youth Development" , "Practical applications for community-based youth programs" ,
 "ELEC" , "6851" , "Telecommunications Networks" , "A project is required" ,
 "MANA" , "529" , "Internship - Public Admin" , "Internship" ,
 "FINA" , "410" , "Investment Analysis" , "Group assignment & presentation" ,
 "JOUR" , "693" , "Research-Creation Thesis" , "Thesis" ,
 "FTRA" , "635" , "Traduction littéraire du français à l’anglais Co-listé : FTRA 501" , "travaux pratiques" ,
 "INSE" , "6431" , "Ad Hoc Wireless Networks: Architectures and Protocols" , "A project is required" ,
 "ACCO" , "465" , "Adv Assurance Services" , "Audit course" ,
 "CHEM" , "206" , "General Chemistry II" , "Laboratory" ,
 "COEN" , "212" , "Digital Systems Design I" , "Laboratory: 15 hours total" ,
 "INSE" , "6290" , "Quality in Supply Chain Design" , "A project is required" ,
 "MECH" , "6421" , "Metal Machining and Surface Technology" , "A project on selected topics is required" ,
 "COMS" , "476" , "Communication Media: Sound III" , "Practicum course" ,
 "FTRA" , "425" , "Stage de formation : du français à l’anglais II" , "stage; activité professionnelle" ,
 "MECH" , "6481" , "Aeroelasticity" , "A project on specific applications is required" ,
 "AHSC" , "371" , "Community Recreation Planning" , "Practical experience, field experience, project planning " ,
 "MECH" , "211" , "Mechanical Engineering Drawing" , "Laboratory: 2 hours per week, alternate weeks" ,
 "ENGR" , "307" , "Engineering Industrial Experience Work Term III" , "Industrial experience work term" ,
 "LOYC" , "298-01" , "Ecocide and Dystopias" , "Film production and exhibition" ,
 "FTRA" , "528" , "Travaux dirigés (F)" , "travaux dirigés" ,
 "PSYC" , "487" , "Advanced Directed Research in Psychology" , "Research project" ,
 "TESL" , "486" , "Internship: Primary II" , "Minimum 210 hours supervised by a co-operating teacher and a university professor" ,
 "ACCO" , "420" , "Advanced Managerial Accounting" , "Course" ,
 "ELEC" , "6081" , "Modern Analog Filter Design" , "A project is required" ,
 "ENGR" , "108" , "Engineering Industrial Experience Reflective Learning I" , "Associated reflective learning course to industrial experience work term I" ,
 "FINA" , "402" , "Short Term Financial Management" , "Case anaylsis" ,
 "MATH" , "MACF" , "Mathematical and Computational Finance Co-op" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "MECH" , "370" , "Modelling and Analysis of Dynamic Systems" , "Laboratory: 2 hours per week, alternate weeks" ,
 "MANA" , "695B" , "Management of Technology & Innovation" , "Course" ,
 "COMS" , "393" , "Communication Media: Special Topics" , "Practicum course" ,
 "BIOL" , "382" , "Comparative Animal Physiology" , "Laboratory" ,
 "HIST" , "486" , "Public History Internship" , "Non-academic situation, placement" ,
 "PHYS" , "293" , "Experimental Electricity and Magnetism I" , "Experiments, practical laboratory course" ,
 "BLDG" , "6851" , "Project Cost Estimating" , "A project is required" ,
 "MSCA" , "632" , "Financial Market Microstructure" , "Research paper and presentation" ,
 "GEOG" , "490" , "Internship in Geography" , "100 hours of work and contribution to a seminar series" ,
 "COMP" , "477" , "Animation for Computer Games" , "Laboratory: 24 hours total, project" ,
 "FTRA" , "692" , "Mémoire" , "mémoire" ,
 "MECH" , "471" , "Microcontrollers for Mechatronics" , "Hands-on project, Laboratory: 2 hours per week, alternate weeks, 3D printer project incorporated" ,
 "ENGR" , "208" , "Engineering Industrial Experience Reflective Learning II" , "Associated reflective learning course to industrial experience work term II" ,
 "PHYS" , "496" , "Honours Research Project" , "Research project" ,
 "COMS" , "361" , "Propaganda" , "Projects" ,
 "CIVI" , "440" , "Computer Applications in Civil Engineering Practice" , "Laboratory: 2 hours per week, alternate weeks" ,
 "EDUC" , "382" , "Teaching Science Concepts in the Elementary Classroom" , "Developing activities for classroom use" ,
 "PHIL" , "693" , "Research Paper" , "Research" ,
 "HIST" , "485" , "Public History Workshop" , "Project that presents a historical subject to the public" ,
 "ELEC" , "6051" , "Introduction to Analog VLSI" , "A project is required" ,
 "CIVI" , "7121" , "Cable Stayed Bridges" , "A project is required" ,
 "EDUC" , "264" , "Communication: Child, Parent and Teacher" , "Students interact with parents of the children in the observation nursery by conducting and participating in parent-teacher seminars" ,
 "EMBA" , "635" , "Starting a New Venture" , "Business plans to a board of potential investors" ,
 "BLDG" , "6721" , "Building Acoustics" , "Case studies and a project are required" ,
 "AHSC" , "631" , "Research Methods" , "Course-integrated projects; Simulations; Participatory action research" ,
 "ETEC" , "791" , "Internship II (Non-Thesis Option)" , "Extensive activity (minimum 675 hours) in the university or in the field" ,
 "CHEM" , "856" , "Doctoral Research and Thesis" , "Research, thesis" ,
 "ELEC" , "6351" , "Modern Antenna Theory" , "A project is required" ,
 "ENGL" , "692" , "Creative Writing Thesis" , "Thesis" ,
 "CHEM" , "651" , "Nanochemistry" , "Term project carried out using the nanoscience facilities held in the department research labs" ,
 "FINA" , "695" , "Applied Investments: Business Analysis and Valuation" , "Stock presentation, investment report and valuation model" ,
 "FTRA" , "559" , "Stage en gestion de projet" , "stage" ,
 "ENGL" , "347" , "Creative Non-Fiction Writing" , "Workshop" ,
 "CIVI" , "6671" , "Fate and Transport of Contaminants in the Environment" , "A project is required" ,
 "COMS" , "395" , "Communication Studies Apprenticeship II" , "Work in the industry, open apprenticeship position" ,
 "EXCI" , "352" , "Essentials of Exercise Testing and Training in Athletic Populations" , "Laboratory" ,
 "MBA" , "645" , "Economics for Organizational Decision Making" , "Cases &/or projects" ,
 "BLDG" , "6611" , "Building Science" , "A case study or a project is required" ,
 "HENV" , "895" , "Research and Thesis" , "Research, thesis" ,
 "FTRA" , "498" , "Étude avancée d’un sujet particulier" , "sujet particulier" ,
 "CIVI" , "6021" , "Durability of Concrete Materials" , "A project is required" ,
 "AERO" , "390" , "Aerospace Engineering Design Project" , "Team-based project, design, implement, alternate weeks" ,
 "PSYC" , "826" , "APC Practicum IV: General" , "Specialised practicum for advanced students involving clinical experience under supervision" ,
 "TESL" , "221" , "Phonology for Teachers" , "This course includes a practice component, called pronunciation tutorials. During this practical component of the course, students meet with a non-native speaker, learner of English as a second language (typically, an international student at Concordia), conduct an assessment of the learner's pronunciation skills, and design and implement a brief pronunciation course." ,
 "ENGR" , "107" , "Engineering Industrial Experience Work Term I" , "Industrial experience work term" ,
 "JOUR" , "521" , "Visual Story-Telling" , "Workshop" ,
 "ENCS" , "484" , "Development & Global Engineering (also listed as ENCS 6821)" , "Course-integrated project; Games; Case Studies;" ,
 "MATH" , "496" , "Honours Project in Pure and Applied Mathematics" , "Project" ,
 "ELEC" , "275" , "Principles of Electrical Engineering" , "Laboratory: 15 hours total" ,
 "AHSC" , "538" , "Extended Internship in Youth Work" , "320-hour internship. Full-time supervised experience in either a clinical or a normative youth work setting and requires additional hours to assist the student in building his/her application for licensing. The student fully assumes all the duties and responsibilities of a youth worker in the same site selected for the first internship. Work is supervised and evaluated by an on-site field supervisor." ,
 "INDU" , "412" , "Human Factors Engineering" , "Laboratory: 2 hours per week, alternate weeks" ,
 "ADIP" , "594" , "Practicum II" , "Satisfactory classroom performance in student’s subject matter specialty" ,
 "ELEC" , "6381" , "Techniques in Electromagnetic Compatibility" , "A project is required" ,
 "ENCS" , "6044" , "Practicum in Innovation" , "Fully integrated practicum project" ,
 "ELEC" , "6431" , "Advanced Electrical Machines and Drives" , "A project is required" ,
 "ESL" , "205" , "Academic Oral Communication I" , "Course for students who are English language learners. Multimedia language lab " ,
 "MECH" , "6111" , "Gas Dynamics" , "A project on specific applications is required" ,
 "INSE" , "6140" , "Malware Defenses and Application Security" , "A project is required" ,
 "AHSC" , "691" , "Practicum B" , "Practicum" ,
 "SCPA" , "516" , "Housing and Land Use from a CED Perspective: Part II" , "Examine, evaluate existing housing projects, on site visits, interviews" ,
 "PSYC" , "838" , "Extramural Practicum II: General" , "Practicum" ,
 "ELEC" , "342" , "Discrete-Time Signals and Systems" , "Laboratory: 15 hours total" ,
 "FTRA" , "438" , "Initiation au sous-titrage" , "volet pratique" ,
 "JOUR" , "421" , "Advanced Video Journalism" , "Workshop course" ,
 "FTRA" , "698" , "Étude d’un sujet particulier / Special Topics" , "innovation pédagogique" ,
 "FTRA" , "615" , "Advanced literary translation Co-listé : FTRA 544 ou 545" , "séminaire pratique" ,
 "INDU" , "421" , "Facilities Design and Material Handling Systems" , "Laboratory: 2 hours per week, alternate weeks" ,
 "SCOL" , "290" , "Directed and Independent Study I" , "Practical laboratory project" ,
 "GEOG" , "374" , "Plant Ecology" , "Laboratory, mandatory one-day field trip" ,
 "TESL" , "466" , "Internship: Primary I" , "Minimum 140 hours observing and teaching in a primary school supervised by a co-operating teacher and a university professor" ,
 "AHSC" , "690" , "Practicum A" , "Practicum" ,
 "JOUR" , "503" , "Introduction to Visual Journalism" , "Workshop course" ,
 "FTRA" , "668" , "Web, technologies, traduction : théories et critiques" , "travail approfondi de recherche" ,
 "MECH" , "6131" , "Conduction and Radiation Heat Transfer" , "A project on selected topics is required" ,
 "MSCA" , "654" , "Seminar in Consulting" , "Team assignment with client firm" ,
 "FRAA" , "498" , "Étude avancée d’un sujet particulier" , "sujets particuliers" ,
 "TESL" , "427" , "Secondary Pedagogy" , "Games/role-plays. Case studies. Hands-on workshops." ,
 "ENVS" , "696" , "Internship and Report in Environmental Assessment" , "4-month placement" ,
 "ENCS" , "483" , "Innovation and Critical Thinking in Science and Technology (also listed as ENCS 6041)" , "Simulations, course-integrated projects, case studies & real time innovation challenges" ,
 "CIVI" , "7031" , "Dynamics of Foundations" , "A project is required" ,
 "ENGR" , "307" , "Engineering Industrial Experience Work Term III" , "Industrial experience work term" ,
 "FLIT" , "691" , "Présentation du mémoire incluant une réalisation médiatique" , "mémoire, réalisation médiatique" ,
 "BIOL" , "622" , "Advanced Techniques in Ecology" , "Laboratory" ,
 "MAST" , "701" , "Project" , "Project" ,
 "SOEN" , "385" , "Control Systems and Applications" , "A project is required" ,
 "FTRA" , "614" , "Traduction littéraire avancée 
Co-listé : FTRA 544 ou 545" , "séminaire pratique" ,
 "AHSC" , "232" , "Working in Task Groups" , "Opportunities to integrate the theory they learn with their experiences in a task group" ,
 "ENGR" , "207" , "Engineering Industrial Experience Work Term II" , "Industrial experience work term" ,
 "MECH" , "6741" , "Mechatronics" , "A project is required" ,
 "FTRA" , "682" , "Tutorat en traduction" , "tutorat" ,
 "EXCI" , "253" , "Human Anatomy I: Musculoskeletal Anatomy" , "Laboratory" ,
 "CIVI" , "6071" , "Advanced Steel Structures Design" , "A project is required" ,
 "AHSC" , "361" , "Leisure Services Leadership" , "Experiential learning through simulation with peers and off campus retreat" ,
 "AHSC" , "491" , "Independent Study II" , "Field studies, and/or research" ,
 "COMP" , "6321" , "Machine Learning" , "Laboratory: 24 hours total, project" ,
 "ENCS" , "8511" , "Doctoral Research Proposal" , "Doctoral research proposal" ,
 "ENCS" , "6043" , "Seminar in Innovation Process" , "Building network with industry, real time case studies with industry" ,
 "CIVI" , "469" , "Geo-Environmental Engineering" , "Laboratory: 2 hours per week, alternate weeks" ,
 "FINA" , "413" , "Advanced Topics in Derivative Markets" , "Group presentation and report" ,
 "MANA" , "420" , "Management Research for Decision Making" , "Hands‑on experience with basic research techniques" ,
 "COMS" , "583" , "Internships in Communication Studies" , "120 hours on site" ,
 "APLI" , "647" , "Supervision of Practice Teaching" , "Students observe and assist novice ESL teachers and provide one-on-one mentoring." ,
 "COMS" , "496" , "Directed Study I" , "Major research or production in a communications area" ,
 "COEN" , "6531" , "ASIC Synthesis" , "A project is required" ,
 "PHYS" , "297" , "Experimental Optics" , "Experiments, practical laboratory course" ,
 "CIVI" , "7001" , "Earthquake Engineering" , "A project is required" ,
 "POLI" , "495" , "Honours Thesis" , "Thesis" ,
 "FINA" , "409" , "Applied Investment Analysis" , "Term paper and stock presentation" ,
 "EXCI" , "358" , "Physiology of Exercise" , "Laboratory" ,
 "HEXS" , "801" , "Scientific Communication and Pedagogy in Health and Exercise Science" , "Development of course objectives and a course outline, along with preparing and presenting a lecture at the undergraduate level" ,
 "MECH" , "6671" , "Finite Element Method in Machine Design" , "A case study or project on selected applications is required" ,
 "EDUC" , "304" , "Play in Childhood Settings" , "Course-integrated project: Designing play activities/material/space; arranging classroom configuration to explore play space; engaging in hands-on, play-based activities; using photo-elicitation methods in play; inquiry-based learning sessions using video case examples" ,
 "FRAN" , "318" , "Le français des affaires I" , "techniques de la correspondance commerciale; communications d’affaires" ,
 "ELEC" , "456" , "Antennas" , "Laboratory: 15 hours total" ,
 "COEN" , "6541" , "Functional Hardware Verification" , "A project is required" ,
 "FRAA" , "492" , "Tutorat en langue ou linguistique" , "sujet particulier" ,
 "BIOL" , "890" , "Research and Thesis" , "Research, thesis" ,
 "MATH" , "MACF" , "Actuarial Finance Master's Co-op - International" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "CIVI" , "6401" , "Transportation Systems Analysis" , "A project is required" ,
 "ADED" , "370" , "Workshops for Adult Educators" , "Workshop" ,
 "AHSC" , "438" , "Internship in Therapeutic Recreation" , "Opportunity to design, implement, and evaluate programs, to facilitate groups in a variety of settings, and to establish working relationships with field personnel" ,
 "SCPA" , "511" , "CED Field Project - Part II" , "Field project in community economic development, community organization" ,
 "CIVI" , "361" , "Introduction to Environmental Engineering" , "Laboratory: 2 hours per week, alternate weeks" ,
 "BLDG" , "7811" , "Project Acquisition and Control" , "A project is required" ,
 "ELEC" , "7151" , "Broadband Communications Networks" , "A project is required" ,
 "SOEN" , "490" , "Capstone Software Engineering Design Project" , "capstone, group project" ,
 "SOCI" , "409" , "Honours Seminar" , "Honours paper" ,
 "EXCI" , "426" , "Honours Thesis" , "Thesis" ,
 "APLI" , "626" , "Variationist Approaches to Second Language Acquisition" , "Conceptualize, design and implement a pilot study using variationist analytical tools; review and critique studies in the field; create sociolinguistically-influenced pedagogical materials for language teaching" ,
 "EMBA" , "611" , "Managing Talent" , "Case studies" ,
 "MECH" , "425" , "Manufacturing of Composites" , "Simulation,  Laboratory: 2 hours per week, alternate weeks" ,
 "RELI" , "690" , "Master’s Thesis (Religions and Cultures)" , "Thesis" ,
 "ECON" , "814" , "Workshop in Advanced Economic Theory" , "workshops; presentations; student's own work" ,
 "CATA" , "348" , "Therapeutic Modalities in Sports Medicine" , "Laboratory" ,
 "FRAN" , "212" , "French Language: Transitional Level" , "Laboratory sessions" ,
 "HIST" , "890" , "Thesis Research" , "Thesis" ,
 "EDUC" , "406" , "Physcial Activity: Health and Well-being in Early Childhood Settings" , "Identifying safety strategies in indoor and outdoor environments in early childhood settings; simulation and role-playing activities to practice procedures for reporting suspected child-safety and child-abuse issues" ,
 "EMBA" , "625" , "Global Experience" , "Experience doing business abroad" ,
 "TESL" , "326" , "Pedagogy: General" , "BEd student plan and conduct classes with ESL learners in a community centre." ,
 "IADI" , "301" , "Undergraduate Aerospace Industry Project I" , "Project, industry training and tours" ,
 "URBS" , "335" , "Geographic Information Systems" , "Real-world problem, Laboratory" ,
 "BTM" , "496" , "Information Technology strategy, management and sourcing" , "Experimental design, analysis and solution methodology and techniques" ,
 "CHST" , "608" , "Field Observations" , "2-3 hours weekly in an appropriate setting" ,
 "ESL" , "205" , "Academic Oral Communication I" , "Multimedia language lab" ,
 "JOUR" , "450" , "Journalism Practicum" , "Practicum at a recognized media outlet" ,
 "AHSC" , "660" , "Philosophy and Ethics of Intervention" , "Course-integrated project; Case studies; Hands-on
workshops" ,
 "INSE" , "6260" , "Software Quality Assurance" , "A project is required" ,
 "BIOL" , "368" , "Genetics and Cell Biology Laboratory" , "Laboratory" ,
 "BLDG" , "6241" , "Building Information Modelling in Construction" , "A project is required" ,
 "URBS" , "433" , "Advanced Urban Laboratory" , "Simulations" ,
 "MECH" , "6191" , "Combustion" , "Projects on selected topics are required" ,
 "APLI" , "630" , "Second Language Syllabus Design and Curriculum Planning" , "Students conduct a needs analysis based on a language program in their community with the aim to improve language instruction. They also complete a final project: design language curriculum based on the needs analysis. Knowledge of theories learned during the course is disseminated through a digital presentation and a blog post or research paper which students are encouraged to publish online and/or submit for publication" ,
 "ECON" , "680" , "Econometric Theory I" , "computer-based applications" ,
 "MSCA" , "602" , "Applied Linear Statistical Models" , "Case studies" ,
 "CATA" , "263" , "Principles of Athletic Therapy" , "Laboratory" ,
 "COMP" , "353" , "Databases" , "Laboratory: 24 hours total, group project" ,
 "INSE" , "6170" , "Network Security Architecture and Management" , "A project is required" ,
 "CHST" , "695" , "Internship Seminar & Field Placement." , "Minimum of 75 hours in the field placement in the first term and an additional 125 hours (minimum) in the second term" ,
 "COMP" , "492" , "Computer Science Project II" , "capstone project" ,
 "APLI" , "623" , "Sociolinguistics" , "Students complete a project targeting a sociolinguistic topic of their choice. The project can be either data driven (based on language data collected by students) or conceptual (involving a critical review of relevant issues on a given topic). Students write up the results of this project in a brief report format and present its content in a 10-minute presentation." ,
 "MAST" , "232" , "Mathematics with Computer Algebra" , "Interactive, in the computer laboratory" ,
 "AHSC" , "698" , "Master’s Project" , "Contracting with the client, gathering and analyzing data, implementing relevant intervention activities, and evaluating the intervention as well as their role" ,
 "WSDB" , "496" , "Directed Research" , "Substantial research project" ,
 "MBA" , "641" , "Responsible Manager" , "Case analysis" ,
 "MECH" , "6301" , "Vibration Problems in Rotating Machinery" , "Projects on selected applications are required" ,
 "ADIP" , "500" , "Adult Education in Québec as a Field of Study" , "No info" ,
 "CIVI" , "6611" , "Environmental Engineering" , "A case study and a project are required" ,
 "PHYS" , "392" , "Experimental Medical Electronics" , "Laboratory" ,
 "PSYC" , "843" , "Extramural Practicum III: Child" , "Practicum" ,
 "EDUC" , "462" , "Child Studies Field Experience: Inclusive Practices in Childhood Settings" , "Field placement one day per week, total of 60 hours in off-campus settings" ,
 "COEN" , "6312" , "Model-Driven Software Engineering" , "A project is required" ,
 "ENGR" , "308" , "Engineering Industrial Experience Reflective Learning III" , "Associated reflective learning course to industrial experience work term III" ,
 "BLDG" , "6581" , "Decision Analysis" , "A project is required" ,
 "TESL" , "487" , "Internship: Secondary II" , "Minimum 210 hours supervised by a co-operating teacher and a university professor" ,
 "ELEC" , "482" , "System Optimization" , "Laboratory: 15 hours total" ,
 "CHEM" , "325" , "Organic Chemistry IV: Organic Structure and Stereochemistry" , "Laboratory" ,
 "JOUR" , "630" , "Mediating Diversity through Audio Story-telling" , "Experiential workshop" ,
 "AHSC" , "680" , "Facilitating Individual and Group Learning Processes" , "Laboratory setting" ,
 "ELEC" , "6841" , "Advanced Digital Communications" , "A project is required" ,
 "CHEM" , "222" , "Introductory Organic Chemistry II" , "Laboratory" ,
 "APLI" , "635" , "Language Assessment" , "Students complete projects in which they analyze and deconstruct existing language assessments, as well as writing blueprints for language assessments in specific contexts of their own choice" ,
 "PSYC" , "713" , "Extramural Practicum I: Child" , "4-month extramural practicum with child clients, done under qualified supervisors" ,
 "AERO" , "481" , "Materials Engineering for Aerospace" , "Laboratory: 2 hours per week, alternate weeks" ,
 "ELEC" , "6181" , "Real-time and Multimedia Communication over Internet" , "A project is required" ,
 "INDU" , "323" , "Operations Research I" , "Laboratory: 2 hours per week, alternate weeks" ,
 "BLDG" , "6621" , "Modern Building Materials" , "A project is required" ,
 "MECH" , "390" , "Mechanical Engineering Design Project" , "Team-based design project" ,
 "PSYC" , "316" , "Statistical Analysis II" , "Laboratory" ,
 "MATH" , "ACT" , "Actuarial Mathematics Co-op - International" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "FTRA" , "636" , "Informatique et traduction Co-listé : FTRA 536" , "exercises, initiation aux outils informatisés" ,
 "SCPA" , "509" , "Le financement des initiatives de DÉC. Partie II" , "Visite de sites, entrevues" ,
 "MAST" , "892" , "Doctoral Thesis" , "Thesis" ,
 "URBS" , "260" , "Analytical Methods in Urban Studies" , "Laboratory" ,
 "PHIL" , "495" , "Honours Essay" , "Research project" ,
 "ENCS" , "6042" , "Communication for the Innovation Process" , "Simulations, course-integrated projects, case studies & real time innovation challenges" ,
 "SPAN" , "601" , "Discourse Analysis and Research Methods" , "Concrete practice" ,
 "INDU" , "6351" , "System Reliability" , "Project: 2 hours per week" ,
 "SCPA" , "516" , "Logement et aménagement du territoire dans une perspective de DÉC. Partie II" , "Visite de sites, entrevues" ,
 "BLDG" , "492" , "Construction Processes" , "Site visits" ,
 "MECH" , "6081" , "Fuel Control Systems for Combustion Engines" , "Demonstration in lab" ,
 "INDU" , "6151" , "Decision Models in Service Sector" , "A project is required" ,
 "COEN" , "345" , "Software Testing and Validation" , "Laboratory: 15 hours total" ,
 "INDU" , "490" , "Capstone Industrial Engineering Design Project" , "capstone, group project" ,
 "SPAN" , "682" , "Research Paper I" , "Research" ,
 "MBA" , "648" , "Business Process Management" , "Case discussion, analysis, hands-on approach" ,
 "ELEC" , "6601" , "Digital Signal Processing" , "A project is required" ,
 "ADIP" , "586" , "Integrative Internship II" , "Supervised Special Project in an approved adult education facility, where supervision is provided by a member of a host institution in consultation with the professor" ,
 "ELEC" , "441" , "Modern Analog Filter Design" , "Laboratory: 15 hours total" ,
 "LOYC" , "320" , "Biodiversity on Earth" , "Fieldwork on biodiversity in the neighbourhood" ,
 "COMP" , "473" , "Pattern Recognition" , "Laboratory: 24 hours total, project" ,
 "BTM" , "481" , "Information Systems Analysis" , "Experimental design, analysis and solution methodology and techniques" ,
 "TRAN" , "F-E" , "Traduction francais-anglais / French-English Translation Co-op" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "COMS" , "497" , "Directed Study II" , "Major research or production in a communications area" ,
